Year,Female,Male,Total
1908,42.35,40.5,41.41
1909,42.09,39.94,41.0
1910,42.02,39.71,40.84
1911,40.77,38.86,39.79
1912,44.39,42.52,43.43
1913,43.59,41.67,42.61
1914,43.7,41.89,42.78
1915,44.01,42.22,43.09
1916,44.89,42.98,43.91
1917,43.58,41.66,42.6
1918,30.8,29.94,30.36
1919,42.15,39.78,40.95
1920,40.5,38.31,39.38
1921,43.23,40.79,41.99
1922,45.45,43.0,44.2
1923,46.02,43.51,44.75
1924,47.8,44.85,46.3
1925,48.49,45.51,46.98
1926,49.22,46.22,47.7
1927,50.01,46.99,48.48
1928,50.11,47.15,48.62
1929,51.16,47.85,49.49
1930,51.11,47.44,49.25
1931,51.07,47.55,49.28
1932,52.85,49.47,51.14
1933,53.3,49.92,51.6
1934,54.09,50.39,52.22
1935,54.6,50.73,52.65
1936,55.57,46.89,51.01
1937,52.26,42.91,47.32
1938,52.17,43.46,47.6
1939,51.8,43.11,47.23
1940,52.64,44.89,48.63
1941,51.47,43.47,47.25
1942,55.33,49.26,52.26
1943,57.63,52.14,54.89
1944,59.24,53.3,56.27
1945,60.55,54.99,57.79
1946,60.65,54.56,57.59
1947,61.66,56.55,59.13
1948,63.92,58.61,61.31
1949,63.5,58.32,60.94
1950,64.16,59.29,61.78
1951,63.83,59.1,61.5
1952,67.03,62.55,64.85
1953,67.9,63.49,65.76
1954,69.08,64.63,66.93
1955,68.94,64.38,66.73
1956,69.03,64.39,66.76
1957,68.9,64.16,66.58
1958,71.07,66.4,68.81
1959,71.07,66.24,68.72
1960,71.66,66.67,69.23
1961,71.96,67.08,69.59
1962,72.07,67.08,69.63
1963,72.36,67.12,69.79
1964,73.13,67.78,70.51
1965,73.56,68.17,70.93
1966,73.78,68.46,71.18
1967,74.06,68.57,71.37
1968,74.37,68.87,71.67
1969,73.88,68.34,71.15
1970,74.87,69.32,72.15
1971,74.56,68.84,71.74
1972,75.64,70.15,72.95
1973,75.52,69.85,72.73
1974,75.93,70.17,73.09
1975,76.35,70.54,73.49
1976,76.71,70.81,73.81
1977,77.23,71.28,74.31
1978,77.48,71.42,74.5
1979,78.05,71.84,74.99
1980,78.55,72.39,75.53
1981,78.77,72.53,75.7
1982,79.35,73.17,76.32
1983,79.13,72.96,76.1
1984,79.68,73.2,76.48
1985,79.66,73.1,76.41
1986,79.89,73.44,76.7
1987,80.24,73.61,76.96
1988,80.29,73.56,76.95
1989,80.5,73.47,77.0
1990,80.56,73.43,77.0
1991,80.75,73.51,77.13
1992,81.26,73.91,77.59
1993,81.34,74.11,77.73
1994,81.72,74.5,78.11
1995,81.84,74.56,78.2
1996,82.0,74.69,78.34
1997,82.35,75.33,78.85
1998,82.42,75.45,78.94
1999,82.44,75.46,78.95
2000,82.85,75.97,79.42
2001,83.16,76.29,79.74
2002,83.24,76.39,79.82
2003,83.07,76.42,79.75
2004,83.65,76.98,80.33
2005,83.61,77.02,80.32
2006,84.2,77.69,80.96
2007,84.16,77.75,80.97
2008,84.34,78.18,81.28
2009,84.64,78.57,81.63
2010,84.99,78.98,82.02
2011,85.08,79.22,82.19
2012,85.04,79.28,82.2
2013,85.47,79.84,82.7
2014,85.57,80.01,82.84
2015,85.34,79.82,82.62
2016,85.75,80.18,83.01
2017,85.65,80.26,83.0
2018,85.78,80.35,83.1
2019,86.15,80.74,83.49
2020,85.0,79.48,82.25
2021,85.77,80.16,82.99
